collected_frames,state/lin_vel_mean,state/lin_vel_max,state/ang_vel_mean,state/ang_vel_max,state/roll_deg_mean,state/roll_deg_max,state/pitch_deg_mean,state/pitch_deg_max,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/pct_healthy
4128768,0.35130020091310143,1.1328076501376927,0.3003510795533657,2.154321087524295,0.8698465060442686,45.50347235798836,3.7630559038370848,55.54343202710152,4.064698060974479,0.07553065312094986,-0.18747585243545473,1.0
4194304,0.3422996737062931,1.0949099175632,0.2949185424949974,1.9485687036067247,1.0653093927539885,47.73436325788498,3.7015152126550674,64.59500569105148,3.8431485444307327,0.07825839315773919,-0.021095135947689414,1.0
4259840,0.3304103924892843,1.6364828059449792,0.29961287835612893,2.3649298837408423,1.3156368611380458,40.55121397972107,4.849514901638031,70.44035574793816,3.74604650773108,0.08128953078994527,-0.2785815227543935,1.0
4325376,0.31327288039028645,1.3982078186236322,0.29073962778784335,2.307546069845557,1.6391511941328645,43.0981570482254,5.403673600405455,69.43924224376678,3.6960219759494066,0.07914766337489709,-0.12914661201648414,1.0
4390912,0.19375822111313423,1.0212943513529846,0.12524029210838208,1.736474954713899,1.6545907164151017,38.10049568951489,4.018215263339534,44.77626564745309,3.827744147684201,0.06767579685358038,-0.04466560854385775,1.0
4456448,0.3511391244828701,1.1182711375877261,0.29680897016078234,2.1048493906855583,1.1273026214912534,52.27473384141922,4.187697293236852,50.86943504214287,4.107997518032789,0.07790933205978945,-0.10440132260555401,1.0
4521984,0.35057801799848676,1.0865468308329582,0.29437257000245154,2.016060213558376,0.9194465656764805,44.58861383795738,3.410512313246727,55.833064556121826,3.9378251899033785,0.07664446771377698,-0.039882475350168534,1.0
4587520,0.34140764200128615,1.3166925655677915,0.30295424489304423,2.5268649188801646,1.03071723645553,35.920702055096626,3.7396056950092316,64.49201175570488,3.807673243805766,0.0786814953899011,-0.3039579378673807,1.0
4653056,0.33799545513466,1.2529058991931379,0.2967050182633102,2.4416907718405128,1.2350255344063044,45.326898604631424,3.7775878086686134,63.87819015979767,3.7195500377565622,0.07734384201467037,-0.1774585872190073,1.0
4718592,0.19538515551487007,1.0755751929638615,0.12373570604137628,1.54244094858148,1.0006385726604543,26.221503170841114,3.91539925958187,64.65167433583369,3.9574951954993858,0.06724080881552703,-0.023880377387998242,1.0
4784128,0.35563999181613326,1.1569562423974276,0.3095846991054714,2.4652082668617368,0.7694925032556057,28.978641912341118,3.7218763139098883,63.87480986118317,4.151272427290678,0.07352511712815613,-0.3690772906411439,1.0
4849664,0.35282171377912164,1.2369926269166172,0.3173857342917472,2.633142653852701,1.0709311226382852,41.91166500747204,3.375814311206341,71.42980107665062,3.93961719609797,0.0724751697271131,-0.25096672773361206,1.0
4915200,0.3406036891974509,1.1153778359293938,0.3062446010299027,2.1391153149306774,1.2780356099829078,31.884310245513916,3.629848463460803,63.57887256145477,3.780003821477294,0.07567643164657056,-0.027360986598068848,1.0
4980736,0.3290012127254158,1.1303725708276033,0.297914614668116,2.153291182592511,1.359379481524229,29.67677639424801,3.6166216786950827,51.77655494213104,3.7252235878258944,0.07177073176717386,-0.2119609578512609,1.0
5046272,0.19513372998370462,1.07974621298981,0.1232726573383054,1.5072183531810002,0.8886834201830753,23.748238412640898,3.5067671136874483,49.15255881835852,3.918949021273349,0.06660128582874875,-0.026125435852052934,1.0
5111808,0.35861327103339136,1.117408875375986,0.29371540853753686,2.2495235092937946,0.870522731449455,44.286449164152145,3.0300871059298515,50.23478025197983,4.153788026422262,0.07494746026350185,-0.013046531938016415,1.0
5177344,0.34445770597085357,1.065266368445009,0.29902028455398977,1.9317105691879988,1.0441289055161178,50.54850172996521,3.1602875776588917,57.08377584815025,3.9377158358693123,0.07648884726222605,-0.02323019423056394,1.0
5242880,0.3310897008050233,1.1231824988499284,0.30317465239204466,2.158485049381852,1.4058927241712809,46.96786367893219,3.9612623918801546,43.0342943072319,3.8329199608415365,0.0820543456939049,-0.197169350925833,1.0
5308416,0.325853320537135,1.82608848111704,0.3140403137076646,2.323509051464498,1.438742141239345,46.58445119857788,5.193268246948719,53.60367152094841,3.7601009141653776,0.08626607374753803,-0.08996479152119718,1.0
