collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
27000832,-0.0007579951870866353,-2.3635894628171172e-05,-0.003931236189600895,-0.0020599365234375,-0.006772803582407505
27131904,-0.000775051529672055,-2.052974932809093e-05,-0.003763113747481839,-0.001983642578125,-0.006542302197431127
27262976,-0.0008346954764419934,-1.807806266640455e-05,-0.0039414529001078336,0.0006103515625,-0.004183836771062488
27394048,-0.0007632409592588374,-2.0095617870197202e-05,-0.003920326154911891,-0.003143310546875,-0.007846973229789
27525120,-0.0008024371145438636,-1.0088234375871252e-05,-0.0034099229451385327,-0.001800537109375,-0.006022887421750056
27656192,-0.0007994458819666761,-1.5838721402872125e-05,-0.0036128233859926695,0.0008697509765625,-0.003558356983376143
27787264,-0.0008896528502191359,-1.89721057921588e-05,-0.003974342300352873,-0.0046844482421875,-0.009567415106175758
27918336,-0.0008884509379640804,-1.9453517680290133e-05,-0.004268264765414642,-0.00054931640625,-0.005725485463699442
28049408,-0.0008405116050198558,-1.7337310161735786e-05,-0.004199294975478551,-0.0018768310546875,-0.006933974938419851
28180480,-0.0007867680292292789,-1.8423758689323222e-05,-0.003928624561012839,-0.00042724609375,-0.005160991530829051
28311552,-0.000721079892173293,-1.7728418072238128e-05,-0.003770704608541564,0.0009002685546875,-0.003609209838487004
28442624,-0.0007661768240723177,-1.795724921294095e-05,-0.0036193846790411044,-0.0018157958984375,-0.006219314785539609
28573696,-0.0008868020331647131,-1.0644354674127499e-05,-0.0038197707344806986,-0.00164794921875,-0.006365166262185085
28704768,-0.0007750295294499665,-2.7672152256741356e-05,-0.003926955043425551,0.0012969970703125,-0.003432624484958069
28835840,-0.0007720356275058293,-2.347887984655017e-05,-0.003710050097652129,-0.0054473876953125,-0.009952917720056575
28966912,-0.0007790278214088175,-2.083787523332603e-05,-0.0037579345098492922,0.0009918212890625,-0.0035659789068631653
29097984,-0.0007310908235922398,-2.0024384774330883e-05,-0.003682976028358098,-0.0009307861328125,-0.00536473954525718
29229056,-0.0007471385338249092,-1.97617936450456e-05,-0.0036764906890311977,-0.0021209716796875,-0.006564362694462034
29360128,-0.0007796227837388869,-1.666334846817108e-05,-0.003776855384785449,-0.0006866455078125,-0.0052597870039789996
29491200,-0.0007126631044229725,-1.9583388102262234e-05,-0.003723698486282956,-0.00274658203125,-0.007202457477887947
29622272,-0.0007556251657661051,-1.3456313212145687e-05,-0.003268623286203365,-0.00177001953125,-0.005807724236547074
29753344,-0.0006515966806546203,-1.9463942514619248e-05,-0.003380584643309703,0.001617431640625,-0.0024342136725863384
29884416,-0.0007015043147475808,-1.6052776416586312e-05,-0.003436584394876263,-0.004669189453125,-0.008823330856557732
30015488,-0.0007067598126013763,-1.6321560686094472e-05,-0.0036671065408881987,-0.000640869140625,-0.005031057058204169
30146560,-0.0006975636965762533,-1.671712835360495e-05,-0.003634147522461717,-0.002471923828125,-0.006820352458362322
30277632,-0.0007219625540528796,-2.4492141164955683e-05,-0.0037010470095992787,-0.002838134765625,-0.007285603095624538
30408704,-0.0008691889029250888,-2.610533384483915e-05,-0.0038788985493738437,-0.0016021728515625,-0.006376365620326396
30539776,-0.0008868431164046342,-2.595416219719482e-05,-0.004022628387247096,-0.0040435791015625,-0.008978967874099908
30670848,-0.0006849306691947277,-1.2257408059213049e-05,-0.0030149458816595143,-0.0008087158203125,-0.004520849797700066
30801920,-0.0007217237248369202,-1.4208094938794602e-05,-0.003196220319296117,0.000823974609375,-0.0031081775746315543
30932992,-0.0007371170672740845,-1.6561812870463655e-05,-0.0033807372328737983,-0.002655029296875,-0.006789445523736504
31064064,-0.0007729699082119623,-1.7648256111613136e-05,-0.0035072707159997663,-0.00115966796875,-0.005457556818782905
31195136,-0.0007567760494566755,-1.7873201144880113e-05,-0.003642616153229028,-0.002532958984375,-0.00695022453146521
31326208,-0.0007592948859382886,-1.6487918337304563e-05,-0.003622846390499035,-0.0030364990234375,-0.0074350940344629635
31457280,-0.0007794523689881316,-1.5460097252173455e-05,-0.003793487478105817,-0.0009765625,-0.0055649623614044685
