collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
3538944,0.009138516150414944,0.9541964285714286,3538944,0.0004951785714285712,,,,,,,,
3538944,,,,,0.005167525261640549,0.06293428689241409,0.6826689839363098,0.6969512701034546,0.01828894205391407,0.0038755517452955246,1.7789520025253296,0.003869876265525818
3670016,-0.012965472415089607,0.9525,3670016,0.0004949999999999998,,,,,,,,
3670016,,,,,0.05652080103754997,0.05830233916640282,0.6947195529937744,0.6458660364151001,-0.04337162524461746,0.020147869363427162,1.7915650606155396,0.020058948546648026
3801088,0.005250198766589165,0.9508035714285714,3801088,0.0004948214285714283,,,,,,,,
3801088,,,,,0.06246350705623627,0.043994758278131485,0.6761801242828369,0.6296515464782715,-0.04616264998912811,0.005768972914665937,1.8023017644882202,0.005747903138399124
3932160,-0.0024323996622115374,0.9491071428571428,3932160,0.0004946428571428569,,,,,,,,
3932160,,,,,0.0011823156382888556,0.03433646634221077,0.6850472092628479,0.6775678992271423,0.0131316427141428,0.002730613574385643,1.8145323991775513,0.0026747421361505985
4063232,0.0003067580983042717,0.9474107142857143,4063232,0.0004944642857142855,,,,,,,,
4063232,,,,,0.04418981075286865,0.05329384282231331,0.7116668820381165,0.7460024356842041,0.07131163030862808,0.00729474937543273,1.8521369695663452,0.007256767712533474
4194304,0.007643218617886305,0.9457142857142857,4194304,0.000494285714285714,,,,,,,,
4194304,,,,,0.09554862976074219,0.02569473348557949,0.6695957183837891,0.5851970911026001,-0.08802400529384613,0.021477162837982178,1.8200712203979492,0.021437563002109528
4325376,-0.00770991388708353,0.9440178571428571,4325376,0.0004941071428571426,,,,,,,,
4325376,,,,,0.04679780825972557,0.06274421513080597,0.7027897238731384,0.6511099338531494,-0.03985825181007385,0.011885621584951878,1.696281909942627,0.011753544211387634
4456448,0.0325491689145565,0.9423214285714285,4456448,0.0004939285714285712,,,,,,,,
4456448,,,,,0.04329587519168854,0.02351556345820427,0.700900673866272,0.6621359586715698,-0.03606807813048363,0.012832569889724255,1.7184133529663086,0.012738959863781929
4587520,0.02027217298746109,0.940625,4587520,0.0004937499999999997,,,,,,,,
4587520,,,,,0.01150151900947094,0.03866510093212128,0.7264271974563599,0.7311884760856628,0.01499111671000719,0.01600860431790352,1.7189525365829468,0.01591220125555992
4718592,-0.019455619156360626,0.9389285714285714,4718592,0.0004935714285714283,,,,,,,,
4718592,,,,,0.14807821810245514,0.10402339696884155,0.6916223764419556,0.767259955406189,0.08562712371349335,0.017342764884233475,1.9121979475021362,0.017199009656906128
4849664,0.020801391452550888,0.9372321428571428,4849664,0.0004933928571428568,,,,,,,,
4849664,,,,,0.06252089887857437,0.05307118222117424,0.7135568857192993,0.7718541622161865,0.07638922333717346,0.005711905192583799,1.8290809392929077,0.005689901299774647
4980736,-0.003784000873565674,0.9355357142857142,4980736,0.0004932142857142854,,,,,,,,
4980736,,,,,0.04032939672470093,0.05675471946597099,0.7331671714782715,0.7747290134429932,0.07160979509353638,0.009004822000861168,1.9250798225402832,0.00895779300481081
5111808,-0.0008326130919158459,0.9338392857142858,5111808,0.000493035714285714,,,,,,,,
5111808,,,,,0.03957899287343025,0.042865343391895294,0.7002601623535156,0.6562600135803223,-0.033314310014247894,0.008539075963199139,1.7560962438583374,0.008515715599060059
5242880,0.008360967971384525,0.9321428571428572,5242880,0.0004928571428571425,,,,,,,,
5242880,,,,,0.0021584925707429647,0.02478860691189766,0.6826761364936829,0.6834828853607178,0.016372783109545708,0.003528615925461054,1.7838939428329468,0.0035395571030676365
5373952,-0.008662075735628605,0.9304464285714286,5373952,0.0004926785714285711,,,,,,,,
5373952,,,,,0.0018135772552341223,0.026857690885663033,0.714006781578064,0.7091065645217896,0.015106862410902977,0.00396993150934577,1.7952251434326172,0.0039602057076990604
5505024,0.02996043860912323,0.92875,5505024,0.0004924999999999997,,,,,,,,
5505024,,,,,0.16871753334999084,0.09943370521068573,0.7047260403633118,0.5744303464889526,-0.14382407069206238,0.03735115006566048,1.774788737297058,0.03726591914892197
5636096,0.017551913857460022,0.9270535714285715,5636096,0.0004923214285714282,,,,,,,,
5636096,,,,,0.004478063900023699,0.02937016822397709,0.7170448303222656,0.7235474586486816,0.014822740107774734,0.007977593690156937,1.82428777217865,0.007947367615997791
5767168,-0.01721673086285591,0.9253571428571429,5767168,0.0004921428571428568,,,,,,,,
