collected_frames,rew/potential_shaping,rew/step_penalty,rew/joint_vel_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
1523712,0.3101424714550376,-0.20136560257768443,-0.2386190143879503,-0.0033620545164012583,-0.08681260055163875,-0.012904399285616819,-0.08034721805597655,0.0036777372588403523,-0.30959067423827946
1540096,0.292973926756531,-0.20136560257768443,-0.23745004215743393,-0.003513272238706122,-0.08146347731235437,-0.013270798546727747,-0.08127593662356958,0.0023736950242891908,-0.3229915101546794
1556480,0.26959921116940677,-0.20136560257768443,-0.23774968809448183,-0.003918693335435819,-0.09169196052243933,-0.014653137732238974,-0.0794559241621755,0.00029272763640619814,-0.35894306865520775
1572864,0.30052719730883837,-0.20136560257768443,-0.2390280148247257,-0.004036935999465641,-0.09218658274039626,-0.013655656803166494,-0.07999756786739454,0.0026587133470457047,-0.32708445156458765
1589248,0.37888938654214144,-0.20136560257768443,-0.23741356015671045,-0.003592505528104084,-0.09915362735046074,-0.013767915181233548,-0.09364595118677244,0.0023307754599954933,-0.26771899688174017
1605632,0.3410774301737547,-0.20136560257768443,-0.23648914974182844,-0.004507473571720766,-0.10235125717008486,-0.01481329376110807,-0.09304141585016623,0.006699598743580282,-0.30479116353672
1622016,0.3383866515941918,-0.20136560257768443,-0.2360702013829723,-0.0042326910224801395,-0.10155276290606707,-0.014127987778920215,-0.08522442556568421,-0.0008044260903261602,-0.3049914464354515
1638400,0.3253946609329432,-0.20136560257768443,-0.2367769351694733,-0.0040702444912312785,-0.09406067768577486,-0.013508659023500513,-0.08604183653369546,0.004575711791403592,-0.3058535819873214
1654784,0.2902330746874213,-0.20136560257768443,-0.2367203908506781,-0.004411374120536493,-0.09767375758383423,-0.01474516247981228,-0.08673562214244157,0.004575711791403592,-0.3468431221554056
1671168,0.36474195914343,-0.20136560257768443,-0.23824602039530873,-0.003999630749603966,-0.10993470140965655,-0.014512681278574746,-0.09563533106120303,-0.0025574555911589414,-0.30150945868808776
1687552,0.3406320586800575,-0.20136560257768443,-0.23538773239124566,-0.003980181127190008,-0.10913541575428098,-0.013727513149206061,-0.09022920933784917,0.0013546711124945432,-0.3118389245355502
1703936,0.3415307570248842,-0.20136560257768443,-0.2351046036928892,-0.0042194345078314655,-0.10823669075034559,-0.0160440681502223,-0.09170390001963824,0.004825519863516092,-0.3103180204052478
1720320,0.32062810845673084,-0.20136560257768443,-0.23557186138350517,-0.004746974620502442,-0.10085772658931091,-0.012932316181831993,-0.08487711506313644,0.004411742847878486,-0.31531174574047327
1736704,0.30847910745069385,-0.20136560257768443,-0.23415395081974566,-0.0050537035313027445,-0.10295344062615186,-0.012515122463810258,-0.08578126016072929,5.062887794338167e-05,-0.3332933411002159
1753088,0.3586107592564076,-0.20136560257768443,-0.23529213550500572,-0.004163390485700802,-0.10787315244670026,-0.012671429889451247,-0.09235603685374372,0.0037206568231340498,-0.291390330545255
1769472,0.3328851177357137,-0.20136560257768443,-0.23538088181521744,-0.005176523220143281,-0.10541004984406754,-0.012221615172165912,-0.08533613773761317,-0.004025466769235209,-0.31603115936741233
1785856,0.2939455801388249,-0.20136560257768443,-0.23446884308941662,-0.0050996573863812955,-0.09789660549722612,-0.012264762961422093,-0.08094138244632632,0.00282268226146698,-0.33526859467383474
1802240,0.27672429860103875,-0.20136560257768443,-0.23354757577180862,-0.005014827325794613,-0.094203274929896,-0.012324224917392712,-0.08081762760411948,0.0013546711124945432,-0.3491941618267447
1818624,0.3164703396614641,-0.20136560257768443,-0.23432116524782032,-0.004391876071167644,-0.09584885416552424,-0.013659683841979131,-0.08003738889237866,0.0023736950242891908,-0.3107805392937735
1835008,0.3442492794711143,-0.20136560257768443,-0.23187585466075689,-0.0037290201335054007,-0.09956464316928759,-0.012352993901004083,-0.08264199321274646,0.0018817881937138736,-0.28539904014905915
1851392,0.30349495401605964,-0.20136560257768443,-0.23411054769530892,-0.0045645122409041505,-0.1003407685784623,-0.01301157426496502,-0.0790721773810219,0.001924707758007571,-0.32704552123323083
1867776,0.3376249361317605,-0.20136560257768443,-0.23283050686586648,-0.004133892574827769,-0.10604304005391896,-0.013535599413444288,-0.0862090343143791,0.0026587133470457047,-0.3038340269122273
1884160,0.3350453821476549,-0.20136560257768443,-0.2327906646532938,-0.004513327226959518,-0.10328280442627147,-0.013485497373039834,-0.09118701558327302,0.005637655267491937,-0.30594187520910054
1900544,0.3183576369192451,-0.20136560257768443,-0.23406825843267143,-0.004243718365614768,-0.10344366007484496,-0.013645745180838276,-0.08583127829479054,-0.0010894444130826741,-0.3253300723154098
1916928,0.3591091576963663,-0.20136560257768443,-0.23316638090182096,-0.0027764086407842115,-0.09659005486173555,-0.012404399567458313,-0.08484455922734924,0.002779762726277113,-0.2692584832548164
1933312,0.34157899278216064,-0.20136560257768443,-0.23100022482685745,-0.003569105661881622,-0.10410079773282632,-0.012570325685373973,-0.08659996470669284,0.0067777285585179925,-0.29084929660893977
1949696,0.304410268785432,-0.20136560257768443,-0.23337266850285232,-0.004072469155289582,-0.0989624040084891,-0.013028579829551745,-0.08371002232888713,0.0012765412975568324,-0.32882493606302887
1966080,0.3294548452831805,-0.20136560257768443,-0.23271990509238094,-0.0033773976920201676,-0.08980085089569911,-0.011917813171749003,-0.08206976891960949,-0.004189435712760314,-0.29598592640832067
1982464,0.31977850827388465,-0.20136560257768443,-0.2318366508698091,-0.004098207306014956,-0.10196254815673456,-0.011971220577834174,-0.08442391164135188,0.0029437316698022187,-0.3129359004087746
1998848,0.3099209137726575,-0.20136560257768443,-0.23249491839669645,-0.0038387009599318844,-0.0956549379916396,-0.0125961798694334,-0.08338615170214325,0.006285821727942675,-0.3131297583458945
2015232,0.3189114404376596,-0.20136560257768443,-0.23175529949367046,-0.0038434709913417464,-0.08886738237924874,-0.012366762224701233,-0.0791837649885565,-0.0015813512436579913,-0.3000521931098774
2031616,0.33469084347598255,-0.20136560257768443,-0.23171854892279953,-0.0043801924293802585,-0.10015407647006214,-0.010398709775472526,-0.08422686881385744,0.006734808936016634,-0.29081834806129336
2048000,0.32338179112412035,-0.20136560257768443,-0.2327988154720515,-0.0038476801018987317,-0.10306011175271124,-0.011893453702214174,-0.08379226320539601,0.0037635763874277472,-0.3096125604934059
2064384,0.3098770654760301,-0.20136560257768443,-0.2327628693310544,-0.003462856213445775,-0.09227936202660203,-0.011032515401893761,-0.08384532041964121,-0.0008044260903261602,-0.31567588180769235
2080768,0.37199459387920797,-0.20136560257768443,-0.23097620357293636,-0.004286229141143849,-0.10459430204355158,-0.011228173014387721,-0.08580972798517905,0.0026157937827520072,-0.26364984968677163
2097152,0.34802964562550187,-0.20136560257768443,-0.23046444973442703,-0.004710649067419581,-0.11320209788391367,-0.012622795198694803,-0.09182735934155062,0.0023384847736451775,-0.30382482177810743
2113536,0.34443934238515794,-0.20136560257768443,-0.23205476708244532,-0.005297235220496077,-0.11244561307830736,-0.01139785840496188,-0.08578949637012556,-0.0017805304378271103,-0.3056917608482763
2129920,0.3315152337308973,-0.20136560257768443,-0.23037477722391486,-0.004378845133032883,-0.10110969637753442,-0.011551855255675036,-0.08755693846615031,0.0011907021689694375,-0.30363177857361734
2146304,0.3097337281797081,-0.20136560257768443,-0.22999474103562534,-0.00500890289004019,-0.11385577626060694,-0.013495428931491915,-0.09444789675762877,-0.001210493763210252,-0.3496451152022928
2162688,0.3675419297069311,-0.20136560257768443,-0.2302238888805732,-0.0035481952618283685,-0.0950047904625535,-0.011967862003075425,-0.08192937515559606,0.006734808936016634,-0.24976297130342573
2179072,0.323664290830493,-0.20136560257768443,-0.23195483605377376,-0.003909338993253186,-0.10433565499261022,-0.011591261340072379,-0.08391889405902475,0.00922184408409521,-0.30418945534620434
2195456,0.29872801527380943,-0.20136560257768443,-0.22966977348551154,-0.0046538374735973775,-0.09626535378629342,-0.011514793135575019,-0.08146485581528395,-0.0019874189456459135,-0.32819362019654363
2211840,0.3123895600438118,-0.20136560257768443,-0.22806275798939168,-0.004403561335493578,-0.08634490790427662,-0.011044834631320555,-0.07687789501505904,0.007675703091081232,-0.2880342935095541
2228224,0.3081587920896709,-0.20136560257768443,-0.23036069120280445,-0.00428428780833201,-0.09112554712919518,-0.012795796057616826,-0.08286992262583226,0.003064781049033627,-0.31157827423885465
2244608,0.3551472299732268,-0.20136560257768443,-0.2282347137806937,-0.0038316334148476017,-0.10724552371539176,-0.012097304930648534,-0.0884411339648068,0.001924707758007571,-0.2841439758776687
2260992,0.3559308859985322,-0.20136560257768443,-0.23208363517187536,-0.004052896529174177,-0.10327861155383289,-0.012754656963807065,-0.08498551696538925,0.00779675247031264,-0.2747932827915065
2277376,0.332402988569811,-0.20136560257768443,-0.23029699409380555,-0.004301334594856598,-0.09809845971176401,-0.012697482779913116,-0.08735713717760518,0.00869472700287588,-0.2930192952044308
2293760,0.30793538386933506,-0.20136560257768443,-0.2284902479732409,-0.004417455544171389,-0.10390624194405973,-0.01354942616308108,-0.08343250880716369,0.004618631355697289,-0.3226074657868594
2310144,0.32038332731463015,-0.20136560257768443,-0.23001170146744698,-0.004426743511430686,-0.09277425063191913,-0.012308220524573699,-0.079291815898614,0.006449790642363951,-0.29334521386772394
2326528,0.3757088591810316,-0.20136560257768443,-0.22841288568452,-0.0028095438092350378,-0.09371735239983536,-0.0124934457562631,-0.08644071445451118,0.00832386955153197,-0.24120681584463455
2342912,0.35127398162148893,-0.20136560257768443,-0.2272181147709489,-0.0036381432473717723,-0.10456569690722972,-0.014675980390165932,-0.09252272779121995,0.013383778859861195,-0.2793285060324706
2359296,0.32241034088656306,-0.20136560257768443,-0.22928789199795574,-0.00337379031952878,-0.09622809232678264,-0.012999973259866238,-0.0839044657186605,0.0027016328822355717,-0.3020478440448642
2375680,0.3280644610058516,-0.20136560257768443,-0.22784711932763457,-0.0028869059024145827,-0.08734916272806004,-0.011757169326301664,-0.07855947222560644,0.003556687879608944,-0.2781442787963897
2392064,0.28000000363681465,-0.20136560257768443,-0.2296146946027875,-0.0037337371104513295,-0.0890059758676216,-0.012747379922075197,-0.07662175566656515,0.0016396894352510571,-0.33144945185631514
2408448,0.3814832887146622,-0.20136560257768443,-0.22597898938693106,-0.002893634173233295,-0.09883193057612516,-0.01212364141974831,-0.08874916707281955,5.062887794338167e-05,-0.24840904580196366
