collected_frames,var_decomp/shaping,var_decomp/legacy_joint_vel_var_penalty,var_decomp/legacy_joint_angle_var_penalty,var_decomp/legacy_track_vel_var_penalty,var_decomp/legacy_roll_rate_penalty,var_decomp/legacy_pitch_rate_penalty,var_decomp/terminal_bonus
19005440,0.14342902600765228,-0.005452204495668411,0.004049602895975113,-0.0033668074756860733,0.00802645180374384,0.028658561408519745,0.006838185712695122
19136512,0.09555713087320328,0.0030911474023014307,0.013689786195755005,0.004816606640815735,0.006712170317769051,0.005298399832099676,
19267584,0.116887666285038,0.0020709289237856865,0.04620489850640297,0.0037245198618620634,0.002302336972206831,0.012721741572022438,
19398656,-0.059387389570474625,0.018362104892730713,-0.014224070124328136,0.02354661375284195,0.003502380335703492,0.002402666723355651,
19529728,0.034909237176179886,0.009057566523551941,-0.005638048052787781,0.022228244692087173,0.0044939639046788216,0.006876579485833645,
19660800,0.04475802183151245,0.0096294479444623,6.257482164073735e-05,0.034755364060401917,0.0046082753688097,0.005295415408909321,0.016033809632062912
19791872,0.07764943689107895,0.008189964108169079,-0.0023141405545175076,0.020918596535921097,0.004195716697722673,0.0018552617402747273,0.00417022081092
19922944,-0.005346817430108786,-0.0033284907694905996,-0.0004387641965877265,-0.001137523096986115,-0.002923673717305064,-0.003222932107746601,0.0006236190092749894
20054016,0.04239223524928093,0.0003816616372205317,0.0005446299910545349,0.001900522387586534,0.0009009396308101714,0.004313018172979355,0.013345065526664257
20185088,0.06682506948709488,0.015102539211511612,8.64664907567203e-05,0.028261885046958923,0.00021420813573058695,0.0030187361408025026,0.015069344080984592
20316160,0.11312390863895416,-0.0010814903071150184,0.0002983040176331997,-0.0010159770026803017,0.005673672538250685,0.007041831500828266,7.029928383417428e-05
20447232,0.04827355220913887,0.011597753502428532,0.014031188562512398,0.02191806212067604,0.005811001639813185,0.011516157537698746,0.000801360234618187
20578304,0.09669775515794754,0.0021899223793298006,0.030391516163945198,0.003169637406244874,-0.0015170720871537924,0.015563247725367546,0.002288906602188945
20709376,0.1094895452260971,0.009639359079301357,0.02284545637667179,0.020410586148500443,0.004344213753938675,0.007559324149042368,
20840448,0.04743316397070885,0.0017658360302448273,-0.004294098820537329,0.005768276751041412,3.466781345196068e-05,-0.0003595257003325969,
20971520,0.04493807256221771,0.009659063071012497,0.0020167105831205845,0.008253755047917366,0.0033117299899458885,0.003997909836471081,0.045953910797834396
21102592,0.06442198157310486,0.005541719496250153,-1.940686343004927e-05,0.0036877815145999193,0.0026127800811082125,0.007092238403856754,0.08885230123996735
21233664,-0.0034239678643643856,-0.002389427972957492,-0.003753537544980645,-0.0011785083916038275,-0.0034345390740782022,-0.0040053208358585835,0.006538751535117626
21364736,-0.005862589459866285,0.0027204358484596014,0.004739913623780012,0.004516798071563244,0.0015387446619570255,0.0021901039872318506,0.006051314063370228
21495808,0.022494733333587646,0.008943241089582443,0.00033910127240233123,0.004708414431661367,0.0028358662966638803,0.005782319698482752,0.03147304058074951
21626880,0.11061804741621017,-0.0017569016199558973,0.008306045085191727,-0.003651990322396159,0.0043311938643455505,0.017886821180582047,
21757952,-0.08808200806379318,0.021153129637241364,0.04613160714507103,0.03318750113248825,0.007055256050080061,0.010059541091322899,0.0005940329283475876
21889024,0.0830674096941948,0.0063312542624771595,0.03609003871679306,0.010510982945561409,-0.0029401874635368586,0.01479137223213911,
22020096,0.008938922546803951,0.007526105735450983,-0.0037631697487086058,0.013031704351305962,0.0057509541511535645,0.004415813833475113,0.012927383184432983
22151168,0.020596900954842567,0.00901482068002224,-0.005786166526377201,0.011218583211302757,0.0006673837779089808,-0.0031111459247767925,
22282240,0.10321754217147827,0.011495727114379406,-0.004137896932661533,0.01479959674179554,0.0012145581422373652,0.004230228252708912,0.012857252731919289
22413312,0.04139697924256325,0.0010587946744635701,0.00976674072444439,0.011790277436375618,0.0035037498455494642,0.00852048397064209,0.027843613177537918
22544384,-0.013353868387639523,-0.0011115203378722072,-0.002453277353197336,-0.002382510108873248,-0.002392418449744582,-0.0015218463959172368,0.0034533943980932236
22675456,-0.0002483354473952204,0.004101513419300318,-0.00024587506777606905,0.006990775931626558,0.00456413347274065,0.002630367409437895,0.011312978342175484
22806528,0.03624201565980911,0.01303871814161539,-0.001056823180988431,0.013287555426359177,0.00885870959609747,0.004837734624743462,0.04081316664814949
22937600,0.02909453772008419,0.008445835672318935,0.001933668158017099,0.030628709122538567,-0.0008983654552139342,0.006264769472181797,0.07590590417385101
23068672,0.13254445791244507,0.005588300991803408,0.02216312848031521,-0.00028126416145823896,0.004786938428878784,0.019356468692421913,0.00035026908153668046
23199744,0.04106780141592026,0.014522362500429153,0.0150213073939085,0.01665104180574417,0.002245900686830282,0.01622346229851246,0.001099592656828463
23330816,0.23599939048290253,0.009403826668858528,0.03180072084069252,0.018114736303687096,-0.0017445317935198545,0.011788494884967804,
23461888,0.014257011003792286,0.005400348920375109,-0.0018497094279155135,0.01660667546093464,-0.0034684038255363703,-0.001858541858382523,0.005406961310654879
23592960,0.023706918582320213,0.006340386811643839,0.01128081139177084,0.019525092095136642,0.003540990874171257,0.00551324337720871,0.03464538976550102
23724032,0.024107063189148903,0.008201304823160172,0.0005423424299806356,0.008650409989058971,0.0007952784653753042,9.557786688674241e-05,0.14103633165359497
23855104,0.01570047065615654,-0.00011027416621800512,-0.003641245188191533,-0.002050675917416811,-0.003793321317061782,-0.0017509432509541512,
23986176,0.002073790179565549,0.0046904259361326694,0.012770802713930607,0.009622843004763126,-0.0010023295180872083,0.004713103175163269,0.0016219292301684618
24117248,0.01270514540374279,0.006985391024500132,0.016956262290477753,0.01521327719092369,0.003147335257381201,0.001706757233478129,0.026307309046387672
24248320,0.13023671507835388,-0.011941180564463139,0.007283014710992575,-0.019784562289714813,0.014366555958986282,0.020383769646286964,0.0012354239588603377
24379392,0.15702535212039948,-0.0006759340176358819,0.05278962850570679,-0.0028741739224642515,0.006374333053827286,0.010612715035676956,0.0007460553315468132
24510464,0.05161484330892563,0.014200340956449509,0.013132196851074696,0.018514063209295273,0.0005809690919704735,0.006096444092690945,0.001535584800876677
24641536,0.1695154756307602,0.014199253171682358,0.04047297686338425,0.015975425019860268,-0.003044979413971305,0.013813749887049198,0.01641024462878704
24772608,-0.009001392871141434,0.007365476805716753,-0.018663115799427032,0.00722636329010129,-0.0009652614826336503,-0.009640788659453392,0.010598474182188511
24903680,0.02339608035981655,0.002908195834606886,0.0020271383691579103,0.012281390838325024,7.867559907026589e-05,-0.005230720154941082,0.050606630742549896
25034752,0.05125142261385918,0.005914448294788599,-0.006878884509205818,0.007020485121756792,0.0035073610488325357,-0.0003285851562395692,0.11858372390270233
25165824,-0.014515991322696209,-0.0008274592109955847,-0.0004601120308507234,0.0001452563883503899,-0.001565899234265089,-0.0019022418418899179,
25296896,0.0015194205334410071,0.0017528303433209658,0.0005597800482064486,0.006843577604740858,0.0018386940937489271,0.0008770503918640316,
25427968,0.05370455980300903,0.011194240301847458,-1.7421823940821923e-05,0.01938573643565178,0.004085493739694357,0.0029718708246946335,0.01715649664402008
