attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_front_mean,action/flipper_front_std,action/flipper_rear_mean,action/flipper_rear_std
1,7077888,0.03863490745425224,0.5834426283836365,-0.005046007689088583,0.5794329643249512,-0.30750948190689087,0.5438199639320374,-0.20214049518108368,0.29280737042427063
1,7208960,0.04898151382803917,0.5825479030609131,-0.00976294744759798,0.5763709545135498,-0.27466726303100586,0.5421236157417297,-0.2057010978460312,0.31893226504325867
1,7340032,0.03863128274679184,0.5802597999572754,-0.002381599275395274,0.5759361982345581,-0.2770316004753113,0.548673152923584,-0.19435784220695496,0.3014281988143921
1,7471104,0.03925637900829315,0.5817180275917053,0.020511377602815628,0.5769622325897217,-0.27968132495880127,0.5451471209526062,-0.20573550462722778,0.3079305589199066
1,7602176,0.01990547776222229,0.5830478072166443,0.0161212719976902,0.57798832654953,-0.2887643575668335,0.5414599180221558,-0.20303191244602203,0.3123043477535248
1,7733248,-0.012857038527727127,0.5834943056106567,0.026525013148784637,0.5763776898384094,-0.2853761315345764,0.5421702861785889,-0.20635223388671875,0.3045016825199127
1,7864320,-0.04299557954072952,0.5841731429100037,0.004750650841742754,0.5747576951980591,-0.28108370304107666,0.5463610291481018,-0.21241053938865662,0.3103127181529999
1,7995392,-0.03824496269226074,0.583381712436676,-0.018982157111167908,0.5752602219581604,-0.3004468083381653,0.5423663258552551,-0.20887406170368195,0.30528777837753296
1,8126464,-0.054321277886629105,0.5815434455871582,-0.005261105950921774,0.5752313137054443,-0.30855080485343933,0.5331069231033325,-0.21320131421089172,0.32428452372550964
1,8257536,-0.059144094586372375,0.5791521072387695,0.013080151751637459,0.5776593685150146,-0.32196131348609924,0.5378969311714172,-0.20517364144325256,0.31520789861679077
1,8388608,-0.06356877088546753,0.5783064365386963,-0.004003039561212063,0.5765313506126404,-0.3548170328140259,0.5384820699691772,-0.19476614892482758,0.29068753123283386
1,8519680,-0.04137707129120827,0.5794224143028259,-0.024050993844866753,0.576708197593689,-0.32629597187042236,0.5375661849975586,-0.19221016764640808,0.3190646171569824
1,8650752,-0.044389721006155014,0.5782296657562256,-0.02614019811153412,0.5758411288261414,-0.32716989517211914,0.5356783270835876,-0.19277454912662506,0.29884445667266846
1,8781824,-0.020986270159482956,0.576676607131958,-0.03620818629860878,0.5725747346878052,-0.3048599362373352,0.5411052703857422,-0.19551679491996765,0.304879754781723
1,8912896,-0.022304847836494446,0.5805658102035522,-0.052691731601953506,0.5712207555770874,-0.3087252080440521,0.5423265099525452,-0.1955370157957077,0.3106205463409424
1,9043968,0.0036800752859562635,0.5751786828041077,-0.05421255901455879,0.5699175596237183,-0.3112184405326843,0.5418888330459595,-0.20098739862442017,0.30255237221717834
1,9175040,0.004461314994841814,0.5702301263809204,-0.03117351606488228,0.5673328638076782,-0.29354357719421387,0.5389125347137451,-0.2071063220500946,0.30959227681159973
1,9306112,-0.0046537998132407665,0.5736672878265381,-0.017707759514451027,0.5612919330596924,-0.30823928117752075,0.5398516654968262,-0.1989586353302002,0.30434077978134155
1,9437184,-0.008054823614656925,0.5731269717216492,-0.006491339299827814,0.5563340187072754,-0.2865138053894043,0.5364066958427429,-0.2147834748029709,0.3234594464302063
1,9568256,-0.0015549467643722892,0.5746811032295227,-0.024670498445630074,0.5552346706390381,-0.28897711634635925,0.5394541621208191,-0.20863355696201324,0.31420814990997314
1,9699328,-0.01629636064171791,0.5678802728652954,-0.019415881484746933,0.5578115582466125,-0.2856791317462921,0.5409337878227234,-0.21637669205665588,0.29172179102897644
1,9830400,0.004512399435043335,0.5666658878326416,-0.007719768211245537,0.5603383183479309,-0.259199321269989,0.5379194617271423,-0.21788348257541656,0.31844618916511536
1,9961472,0.008723788894712925,0.5626345276832581,0.011344179511070251,0.556820273399353,-0.2651422321796417,0.5454025864601135,-0.21504664421081543,0.3013492226600647
1,10092544,0.003324786899611354,0.5657925009727478,-0.0013208596501499414,0.5587103366851807,-0.25554245710372925,0.5411480069160461,-0.2294899821281433,0.31042975187301636
1,10223616,0.005060635972768068,0.5649388432502747,0.001773733296431601,0.560560941696167,-0.26015469431877136,0.5427223443984985,-0.23501954972743988,0.3150532841682434
1,10354688,0.014877334237098694,0.5676138997077942,-0.015351828187704086,0.5637682676315308,-0.2830808162689209,0.5432937741279602,-0.2346453070640564,0.304124653339386
1,10485760,0.012049405835568905,0.5753062963485718,-0.030075348913669586,0.5618359446525574,-0.27518367767333984,0.5476390719413757,-0.24227461218833923,0.31166666746139526
1,10616832,0.027513599023222923,0.5704085230827332,-0.02141120471060276,0.5591211318969727,-0.29627496004104614,0.5437597632408142,-0.24088454246520996,0.30682992935180664
1,10747904,0.04884656146168709,0.5625770688056946,-0.021152270957827568,0.5586391091346741,-0.3040958046913147,0.5349299311637878,-0.24175073206424713,0.32508108019828796
1,10878976,0.03029489330947399,0.566679060459137,-0.006102114915847778,0.5644981861114502,-0.30466538667678833,0.5392706394195557,-0.23079141974449158,0.3130243420600891
1,11010048,0.016042891889810562,0.5693911910057068,-0.007143320515751839,0.5708510279655457,-0.3288864493370056,0.5483754277229309,-0.22679848968982697,0.28932106494903564
