collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/action_bonus_coef
13107200,0.011162536218762398,-2.5594851970672607,-2.570647733286023,-0.8567954897880554,-3.4122414588928223,1.932142972946167,-0.07825784385204315,-0.1709258109331131,3.4185163974761963,0.026477349922060966,0.3642578125,-0.8567954897880554,10.383935928344727,3.4205455780029297,0.00045981582383522045,0.0021984325334341035,2.9695064964387123
13172736,-0.011132855899631977,-4.0321855545043945,-4.0210526986047626,-1.0343098640441895,-3.4177308082580566,1.9377453327178955,-0.08234144002199173,-0.168474942445755,3.3694989681243896,0.025447426363825798,0.37890625,-1.0343098640441895,9.710724830627441,6.326586723327637,0.0004597027543703429,0.0021978919352701443,2.969354810312171
13238272,0.05621543154120445,-0.6521262526512146,-0.708341684192419,-1.0561527013778687,-3.430347442626953,3.0396876335144043,-0.08081656694412231,-0.1700381189584732,3.4007625579833984,0.03881784901022911,0.367919921875,-1.0561527013778687,10.728759765625,8.342464447021484,0.0004595896849054654,0.002197351337106185,2.9692031319339485
13303808,-0.0023024750407785177,-4.249629020690918,-4.2473265456501395,-0.35392820835113525,-3.412196159362793,1.9217689037322998,-0.08175508677959442,-0.16986215114593506,3.397243022918701,0.028850361704826355,0.374755859375,-0.35392820835113525,9.96255111694336,8.871384620666504,0.00045947661544058787,0.002196810738942226,2.969051461303648
13369344,-0.005205014254897833,-2.8514089584350586,-2.8462039441801608,-0.3128063678741455,-3.403221607208252,1.9390716552734375,-0.07901573181152344,-0.17119236290454865,3.423847198486328,0.024641498923301697,0.363037109375,-0.3128063678741455,9.962836265563965,5.192252159118652,0.00045936354597571035,0.002196270140778267,2.968899798420874
13434880,-0.013398585841059685,-2.4764366149902344,-2.4630380291491747,-1.0288147926330566,-3.4167490005493164,1.9815011024475098,-0.07546858489513397,-0.17138510942459106,3.427701950073242,0.03173353523015976,0.344970703125,-1.0288147926330566,9.902103424072266,5.138563632965088,0.0004592504765108328,0.0021957295426143076,2.9687481432852305
13500416,0.0018535517156124115,-3.9835634231567383,-3.9854169748723507,-0.2605389356613159,-3.4012444019317627,1.890099048614502,-0.08105916529893875,-0.17114987969398499,3.42299747467041,0.027880799025297165,0.37255859375,-0.2605389356613159,9.367971420288086,4.301787376403809,0.0004591374070459553,0.0021951889444503485,2.968596495896322
13565952,0.0476556196808815,-1.0173330307006836,-1.064988650381565,-0.1281181126832962,-3.4224014282226562,3.113060474395752,-0.07386042177677155,-0.17177042365074158,3.435408353805542,0.019862394779920578,0.35400390625,-0.1281181126832962,10.904672622680664,3.4504597187042236,0.00045902433758107777,0.0021946483462863893,2.9684448562537535
13631488,-0.01346785482019186,-4.951200008392334,-4.937732153572142,-1.5999277830123901,-3.4002928733825684,2.0514512062072754,-0.07592392712831497,-0.1715269833803177,3.430539608001709,0.02848222851753235,0.3427734375,-1.5999277830123901,10.308037757873535,7.2723493576049805,0.00045891126811620025,0.00219410774812243,2.9682932243571285
13697024,-0.018055327236652374,-6.65210485458374,-6.634049527347088,-0.6951414346694946,-3.4096240997314453,1.9869840145111084,-0.0805828794836998,-0.1697891652584076,3.3957831859588623,0.029736898839473724,0.395263671875,-0.6951414346694946,9.640380859375,3.4488935470581055,0.0004587981986513227,0.002193567149958471,2.9681416002060512
