collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min,torque/flipper_contact_FL,torque/flipper_contact_FL_max,torque/flipper_contact_FR,torque/flipper_contact_FR_max,torque/flipper_contact_RL,torque/flipper_contact_RL_max,torque/flipper_contact_RR,torque/flipper_contact_RR_max
3866624,742.5413565635681,1000.0,4.001557804644108,738.7353963851929,1000.0,3.535483382642269,747.8374152183533,1000.0,3.5435250028967857,752.9793448448181,1000.0,3.4817487224936485,0.7425413727760315,1.0,0.7387354052625597,1.0,0.7478374219499528,1.0,0.7529793637804687,1.0
3932160,746.8537211418152,1000.0,3.2411529403179884,735.8494448661804,1000.0,3.445673046633601,746.3032369613647,1000.0,3.8794931322336197,756.1003656387329,1000.0,3.9013589452952147,0.7468537292443216,1.0,0.7358494587242603,1.0,0.7463032538071275,1.0,0.7561003789305687,1.0
3997696,749.3222136497498,1000.0,3.839470728300512,739.8190360069275,1000.0,3.6971296737901866,750.729100227356,1000.0,3.5626888647675514,760.2388968467712,1000.0,4.17329191043973,0.7493222248740494,1.0,0.739819040056318,1.0,0.7507291128858924,1.0,0.7602389045059681,1.0
4063232,756.4327731132507,1000.0,4.029493278823793,745.5423355102539,1000.0,4.0996367037296295,751.8361468315125,1000.0,4.687174925580621,754.3750352859497,1000.0,4.166933298110962,0.7564327837899327,1.0,0.7455423511564732,1.0,0.7518361546099186,1.0,0.7543750428594649,1.0
4128768,755.708710193634,1000.0,4.305104302242398,744.2011961936951,1000.0,3.629022085107863,751.0647253990173,1000.0,4.090651538223028,744.9870409965515,1000.0,3.3827014118433,0.7557087242603302,1.0,0.7442012070678174,1.0,0.7510647396557033,1.0,0.7449870496056974,1.0
4194304,754.253086566925,1000.0,4.166662078350782,747.8899993896484,1000.0,3.5737855061888695,752.0372071266174,1000.0,3.366531915962696,736.7099919319153,1000.0,3.471092827618122,0.7542530973441899,1.0,0.7478900142014027,1.0,0.7520372238941491,1.0,0.7367100031115115,1.0
4259840,747.8195900917053,1000.0,3.5752546004951,749.7748332023621,1000.0,3.8942768070846796,753.7600297927856,1000.0,3.685467403382063,743.7095165252686,1000.0,3.8822467364370823,0.7478196006268263,1.0,0.7497748411260545,1.0,0.7537600351497531,1.0,0.7437095264904201,1.0
4325376,751.5829091072083,1000.0,3.5283011496067047,750.6737108230591,1000.0,3.57389023154974,748.6362133026123,1000.0,3.861957363784313,742.4468078613281,1000.0,3.9437184184789658,0.7515829196199775,1.0,0.7506737243384123,1.0,0.748636219650507,1.0,0.7424468179233372,1.0
4390912,754.9343414306641,1000.0,3.5555759966373444,752.4328289031982,1000.0,3.466140765696764,746.7749280929565,1000.0,3.7646530028432608,748.0334095954895,1000.0,3.414294693619013,0.7549343528226018,1.0,0.7524328348226845,1.0,0.7467749421484768,1.0,0.7480334183201194,1.0
4456448,749.3637804985046,1000.0,4.109889067709446,751.5278949737549,1000.0,4.111400332301855,742.6418647766113,1000.0,3.3481658957898617,745.5815215110779,1000.0,3.6357659976929426,0.749363798648119,1.0,0.7515279054641724,1.0,0.7426418722607195,1.0,0.7455815323628485,1.0
4521984,748.0206632614136,1000.0,3.77582585811615,749.0201840400696,1000.0,3.944161146879196,747.8866987228394,1000.0,3.7195510119199753,741.8469109535217,1000.0,3.0580415204167366,0.7480206787586212,1.0,0.7490201918408275,1.0,0.7478867084719241,1.0,0.7418469255790114,1.0
4587520,743.8438758850098,1000.0,3.889951214194298,744.5728178024292,1000.0,3.59577813744545,743.7771277427673,1000.0,3.8842329983599484,748.9840416908264,1000.0,3.7054814025759697,0.7438438893295825,1.0,0.7445728271268308,1.0,0.7437771367840469,1.0,0.7489840476773679,1.0
4653056,744.949384689331,1000.0,3.4446162609383464,738.9471640586853,1000.0,3.87569129653275,742.2733368873596,1000.0,3.109026700258255,749.3168258666992,1000.0,3.3542521595954895,0.7449493948370218,1.0,0.7389471768401563,1.0,0.7422733516432345,1.0,0.7493168353103101,1.0
4718592,756.7372093200684,1000.0,3.6432061456143856,742.3668899536133,1000.0,4.076462956145406,734.262993812561,1000.0,3.4051370369270444,755.8599262237549,1000.0,4.323220539838076,0.7567372224293649,1.0,0.7423669029958546,1.0,0.7342630033381283,1.0,0.7558599379844964,1.0
4784128,753.077919960022,1000.0,4.03787899017334,736.2106761932373,1000.0,3.6534266797825694,738.4278936386108,1000.0,3.6884335232898593,753.3067154884338,1000.0,4.098944619297981,0.7530779368244112,1.0,0.7362106945365667,1.0,0.738427902571857,1.0,0.753306720405817,1.0
4849664,754.0999150276184,1000.0,4.095365680754185,730.6112747192383,1000.0,3.0584771037101746,737.1453709602356,1000.0,3.5712038800120354,752.5835456848145,1000.0,4.081594619899988,0.7540999269112945,1.0,0.730611284263432,1.0,0.7371453861705959,1.0,0.7525835535489023,1.0
4915200,750.2622981071472,1000.0,4.040550520643592,739.7709894180298,1000.0,3.6613647043704987,739.2381916046143,1000.0,3.568956520408392,751.0529441833496,1000.0,4.2068444937467575,0.750262307934463,1.0,0.7397709996439517,1.0,0.7392382104881108,1.0,0.7510529584251344,1.0
4980736,751.0766220092773,1000.0,3.6347643211483955,740.6522316932678,1000.0,3.5779304169118404,735.1195697784424,1000.0,3.4933491004630923,750.6584224700928,1000.0,3.4140093475580215,0.751076637301594,1.0,0.7406522450037301,1.0,0.7351195812225342,1.0,0.7506584357470274,1.0
5046272,753.0031685829163,1000.0,4.3612888138741255,749.2842254638672,1000.0,3.3607363924384117,745.4900193214417,1000.0,4.339846838265657,759.6827912330627,1000.0,4.276266127824783,0.7530031870119274,1.0,0.749284234829247,1.0,0.7454900331795216,1.0,0.7596827964298427,1.0
5111808,757.3203673362732,1000.0,3.4495414681732655,749.3460369110107,1000.0,3.827329429797828,745.4497246742249,1000.0,2.961048785597086,755.0931420326233,1000.0,4.368224658071995,0.7573203793726861,1.0,0.7493460429832339,1.0,0.7454497371800244,1.0,0.7550931558944285,1.0
