collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
2686976,0.15378999966196716,-0.08000000000000006,-0.11296558420872316,0.0,-0.0027905991937586805,0.0,-0.09309531364124268,0.0,0.0,0.0,1.1325077144429088,0.0048065185546875,60.0,-15.0,0.0001220703125,0.0001678466796875,1.0020861667580903
2752512,0.2867501063738018,-0.08000000000000006,-0.09257218151469715,0.0,-0.0013316439508344047,0.0,-0.040368542773649096,0.0,0.0,0.0,1.1018082774244249,0.005035400390625,60.0,-15.0,9.1552734375e-05,3.0517578125e-05,1.1792852119542658
2818048,0.2252918881131336,-0.08000000000000006,-0.10729049646761268,0.0,-0.0020599321296685957,0.0,-0.05896683089667931,0.0,0.0,0.0,1.1156814978457987,0.0038909912109375,60.0,-15.0,7.62939453125e-05,4.57763671875e-05,1.0964966686442494
2883584,0.19440627424046397,-0.08000000000000006,-0.10325204813852906,0.0,-0.002572235905972775,0.0,-0.05691758351167664,0.0,0.0,0.0,1.1117456443607807,0.001373291015625,60.0,-15.0,3.0517578125e-05,3.0517578125e-05,1.0647505591623485
2949120,0.17658678558655083,-0.08000000000000006,-0.10135409102076665,0.0,-0.0035540314092941117,0.0,-0.056053642969345674,0.0,0.0,0.0,1.1004281844943762,0.00640869140625,60.0,-15.0,0.0001220703125,6.103515625e-05,1.0423977496102452
3014656,0.16879369865637273,-0.08000000000000006,-0.09904570609796792,0.0,-0.0038168768223840743,0.0,-0.05849363448214717,0.0,0.0,0.0,1.1083166995085776,0.0146484375,60.0,-15.0,0.000274658203125,0.0001220703125,1.0502770245075226
3080192,0.3059856719337404,-0.08000000000000006,-0.054120824541314505,0.0,-0.0007966405032675539,0.0,-0.042047252019983716,0.0,0.0,0.0,1.0672658327966928,0.0025177001953125,60.0,-15.0,4.57763671875e-05,1.52587890625e-05,1.1987872561439872
3145728,0.21700686670374125,-0.08000000000000006,-0.07245636213338003,0.0,-0.0014093969889472646,0.0,-0.06430345340049826,0.0,0.0,0.0,1.0936449277214706,0.0011444091796875,60.0,-15.0,3.0517578125e-05,4.57763671875e-05,1.0935747376643121
3211264,0.1902566992212087,-0.08000000000000006,-0.07433415349805728,0.0,-0.0024163003527064575,0.0,-0.07225822802865878,0.0,0.0,0.0,1.1185448546893895,0.0018310546875,60.0,-15.0,6.103515625e-05,0.0001220703125,1.0814969423227012
3276800,0.17508211883250624,-0.08000000000000006,-0.0748559899511747,0.0,-0.002738408553341287,0.0,-0.07578018604544923,0.0,0.0,0.0,1.1448996979743242,0.000457763671875,60.0,-15.0,6.103515625e-05,0.000213623046875,1.086831025313586
