collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
1409024,-0.011112101376056671,-43.27623748779297,-43.26512538641691,0.7097324132919312,-2.6693222522735596,3.838762044906616,-0.0011168336495757103,-0.09364166110754013,2.6725361347198486,0.00017775001469999552,0.0,0.7097324132919312,8.01761245727539,2.951695203781128,7.729200016478037e-05,0.00046155651189698905
1425408,-0.10033807158470154,-40.808589935302734,-40.70825186371803,-0.3172048032283783,-2.668199062347412,4.060044288635254,-0.0012071136152371764,-0.09388886392116547,2.679591655731201,0.00028482533525675535,0.0,-0.3172048032283783,8.315876960754395,6.615879535675049,7.706254206383769e-05,0.0004601862810778639
1441792,-0.05135056748986244,-41.973175048828125,-41.92182448133826,-0.009916970506310463,-2.6702919006347656,3.2756826877593994,-0.0008782555814832449,-0.09331498295068741,2.663212776184082,0.0007807438960298896,0.0,-0.009916970506310463,6.929834365844727,3.6664464473724365,7.683308396289501e-05,0.00045881605025873876
1458176,-0.05258747190237045,-42.840232849121094,-42.78764537721872,0.24359217286109924,-2.6646616458892822,3.360781192779541,-0.001497811172157526,-0.09308305382728577,2.6565933227539062,-0.00016246701125055552,0.0,0.24359217286109924,6.753132343292236,3.379460573196411,7.660362586195234e-05,0.0004574458194396136
1474560,0.012248406186699867,-41.30586624145508,-41.31811464764178,0.9482254385948181,-2.6660921573638916,3.7175378799438477,-0.000991082051768899,-0.0934603214263916,2.667360544204712,0.0003420290886424482,0.0,0.9482254385948181,7.025577068328857,3.2641561031341553,7.637416776100966e-05,0.00045607558862048846
1490944,0.03111754171550274,-39.724884033203125,-39.75600157491863,0.8268051147460938,-2.6736254692077637,4.15933084487915,-0.000902881845831871,-0.09329802542924881,2.662729024887085,0.00022692943457514048,0.0,0.8268051147460938,7.654998302459717,6.152248382568359,7.614470966006699e-05,0.0004547053578013633
1507328,-0.293179452419281,-41.56574249267578,-41.2725630402565,-2.1947193145751953,-2.6736302375793457,4.337815761566162,-0.0012760055251419544,-0.09350834786891937,2.668731451034546,0.0007880636258050799,0.0,-2.1947193145751953,7.904973030090332,5.136684417724609,7.591525155912433e-05,0.0004533351269822382
1523712,-0.06785015016794205,-41.629249572753906,-41.561399422585964,-0.13048355281352997,-2.663212299346924,4.148685455322266,-0.0010394714772701263,-0.09303752332925797,2.6552939414978027,-9.659695206210017e-05,0.000244140625,-0.13048355281352997,7.677475452423096,2.4047911167144775,7.568579345818166e-05,0.0004519648961631131
1540096,-0.032661087810993195,-43.964412689208984,-43.93175160139799,0.41054773330688477,-2.669495105743408,3.8339791297912598,-0.001116258092224598,-0.0933610051870346,2.6645264625549316,-0.0002800564980134368,0.0,0.41054773330688477,7.378270626068115,4.781328201293945,7.5456335357239e-05,0.00045059466534398793
1556480,-0.046642281115055084,-42.3653564453125,-42.318714164197445,0.13776054978370667,-2.666339874267578,4.152374744415283,-0.0013837534934282303,-0.09338134527206421,2.665106773376465,0.00015663885278627276,0.0,0.13776054978370667,7.805798530578613,5.417072772979736,7.522687725629632e-05,0.0004492244345248628
1572864,0.03705677017569542,-38.663902282714844,-38.70095905289054,1.2393819093704224,-2.6578290462493896,4.383249282836914,-0.0009171366691589355,-0.0938296914100647,2.6779024600982666,0.00014659547014161944,0.0,1.2393819093704224,8.091426849365234,4.0504608154296875,7.499741915535366e-05,0.0004478542037057377
1589248,-0.2104007750749588,-32.91271209716797,-32.70231132209301,-2.348330020904541,-2.6586427688598633,5.659664630889893,-0.0014157295227050781,-0.09304848313331604,2.655606746673584,0.00030750385485589504,0.0,-2.348330020904541,9.28376579284668,6.707655429840088,7.476796105441098e-05,0.00044648397288661254
1605632,-0.08211999386548996,-42.26625061035156,-42.18413061648607,0.05182802677154541,-2.664353132247925,4.3082733154296875,-0.0011016745120286942,-0.09353905916213989,2.669607639312744,-0.00034171430161222816,0.0,0.05182802677154541,8.287091255187988,5.736567497253418,7.45385029534683e-05,0.0004451137420674874
1622016,-0.015380362048745155,-39.84992218017578,-39.834541818127036,0.8016104102134705,-2.6710968017578125,4.175302505493164,-0.001391589641571045,-0.09349742531776428,2.66841983795166,0.00029712007381021976,0.0,0.8016104102134705,7.958902359008789,3.3355557918548584,7.430904485252563e-05,0.0004437435112483623
1638400,-0.012540693394839764,-40.6212043762207,-40.60866368282586,0.27790266275405884,-2.666611671447754,3.916233777999878,-0.0009141899645328522,-0.09345859289169312,2.667311429977417,0.0012922119349241257,0.0,0.27790266275405884,7.374889850616455,3.9414591789245605,7.407958675158297e-05,0.0004423732804292372
1654784,-0.04234717786312103,-43.47439956665039,-43.43205238878727,0.15038177371025085,-2.6676673889160156,4.101806640625,-0.001276496797800064,-0.09338664263486862,2.6652579307556152,0.00012740131933242083,0.0,0.15038177371025085,8.117019653320312,2.8738200664520264,7.38501286506403e-05,0.0004410030496101121
1671168,-0.22553713619709015,-37.25120162963867,-37.02566449344158,-1.7559800148010254,-2.669588804244995,5.192129135131836,-0.0008216204587370157,-0.09350373595952988,2.6685996055603027,0.00010380189632996917,0.0,-1.7559800148010254,9.50367546081543,6.329102039337158,7.362067054969763e-05,0.00043963281879098697
1687552,-0.06935088336467743,-39.981056213378906,-39.91170533001423,0.09018024802207947,-2.664945602416992,4.686325550079346,-0.0011012628674507141,-0.09335915744304657,2.664473533630371,0.0003141320776194334,0.0,0.09018024802207947,8.733237266540527,4.411301612854004,7.339121244875496e-05,0.00043826258797186187
1703936,-0.009176942519843578,-41.5245475769043,-41.51537063438445,0.5255793333053589,-2.665414333343506,4.29335355758667,-0.0009861704893410206,-0.09354738891124725,2.6698453426361084,0.00048700167099013925,0.000244140625,0.5255793333053589,8.121676445007324,3.7124009132385254,7.316175434781228e-05,0.0004368923571527367
1720320,-0.0024875765666365623,-40.79423522949219,-40.79174765292555,0.7790085077285767,-2.662733554840088,4.134121417999268,-0.0006691440939903259,-0.09344220161437988,2.6668434143066406,0.0019522667862474918,0.0,0.7790085077285767,7.755264759063721,3.3171379566192627,7.29322962468696e-05,0.0004355221263336116
1736704,-0.0222213976085186,-40.96124267578125,-40.93902127817273,0.494626522064209,-2.663170576095581,3.9340171813964844,-0.0007882881909608841,-0.09323667734861374,2.660977840423584,0.0002530048950575292,0.0,0.494626522064209,7.970867156982422,2.937819719314575,7.270283814592694e-05,0.0004341518955144865
1753088,-0.2229394167661667,-36.86630630493164,-36.643366888165474,-1.7698668241500854,-2.6672463417053223,5.0821852684021,-0.0010287873446941376,-0.09349451214075089,2.6683363914489746,0.0005213129334151745,0.0,-1.7698668241500854,9.305561065673828,5.567151069641113,7.247338004498426e-05,0.00043278166469536134
1769472,-0.07435201108455658,-39.74360275268555,-39.66925074160099,-0.2854722738265991,-2.6587679386138916,4.4018378257751465,-0.001219045021571219,-0.0929722860455513,2.6534323692321777,0.0002902162668760866,0.0,-0.2854722738265991,7.896467685699463,5.490708827972412,7.22439219440416e-05,0.00043141143387623624
1785856,-0.052513785660266876,-44.22795104980469,-44.17543726414442,0.3893756568431854,-2.657891273498535,3.9721388816833496,-0.00199379725381732,-0.09350892156362534,2.668747663497925,0.0004043077933602035,0.0,0.3893756568431854,7.643026828765869,3.6113359928131104,7.201446384309893e-05,0.0004300412030571111
1802240,-0.01771167479455471,-41.53083801269531,-41.51312633790076,0.6607879996299744,-2.6650586128234863,3.6661062240600586,-0.00022868486121296883,-0.09255112707614899,2.6414122581481934,0.0008662384934723377,0.0,0.6607879996299744,7.552344799041748,3.7181496620178223,7.178500574215625e-05,0.00042867097223798595
1818624,0.0443325936794281,-36.288917541503906,-36.333250135183334,0.6959648132324219,-2.6633903980255127,4.057040214538574,-0.0013752412050962448,-0.09302529692649841,2.654945135116577,0.0006530019454658031,0.0,0.6959648132324219,8.324758529663086,4.063422203063965,7.155554764121359e-05,0.00042730074141886085
1835008,-0.2613372206687927,-36.80674743652344,-36.545410215854645,-2.7156307697296143,-2.6594314575195312,4.752911567687988,-0.0005655903369188309,-0.09289655089378357,2.651270866394043,0.00015943669131956995,0.0,-2.7156307697296143,8.331811904907227,6.269178867340088,7.132608954027091e-05,0.0004259305105997357
1851392,-0.10248894989490509,-42.219627380371094,-42.11713843047619,-0.012740865349769592,-2.6576976776123047,4.358292102813721,-0.0007626917213201523,-0.0929468646645546,2.6527066230773926,4.1868945118039846e-05,0.0,-0.012740865349769592,8.105629920959473,6.696056365966797,7.109663143932823e-05,0.00042456027978061056
1867776,0.009941672906279564,-37.20087432861328,-37.21081600151956,0.7237453460693359,-2.665415048599243,4.313616752624512,-0.0007541582453995943,-0.09355220198631287,2.66998291015625,5.438359221443534e-05,0.0,0.7237453460693359,8.151495933532715,7.383674144744873,7.086717333838555e-05,0.0004231900489614854
1884160,-0.011527951806783676,-38.39707946777344,-38.385551515966654,0.1399185061454773,-2.655683994293213,4.04107666015625,-0.0008834963664412498,-0.09344980120658875,2.667060375213623,0.00019270501798018813,0.0,0.1399185061454773,7.877444267272949,5.140780448913574,7.063771523744288e-05,0.00042181981814236026
1900544,-0.014850758016109467,-41.72167205810547,-41.70682130008936,0.6426767110824585,-2.667086124420166,4.181174278259277,-0.000999110285192728,-0.09339211881160736,2.6654140949249268,0.0018910852959379554,0.0009765625,0.6426767110824585,8.337143898010254,3.2510018348693848,7.04082571365002e-05,0.0004204495873232351
1916928,-0.21662575006484985,-34.331722259521484,-34.115096509456635,-2.0354647636413574,-2.6539430618286133,4.731181621551514,-0.00033688778057694435,-0.09335893392562866,2.6644673347473145,0.0008762140059843659,0.0,-2.0354647636413574,8.992988586425781,5.250008583068848,7.017879903555752e-05,0.00041907935650410997
1933312,-0.07629697769880295,-39.71571731567383,-39.639420337975025,-0.21085166931152344,-2.6594908237457275,4.105225086212158,-0.0006548489909619093,-0.09258775413036346,2.6424574851989746,0.0011398799251765013,0.0,-0.21085166931152344,8.03794002532959,4.32163143157959,6.994934093461484e-05,0.0004177091256849848
1949696,-0.04534442722797394,-43.60715103149414,-43.56180660426617,0.17974892258644104,-2.663320541381836,4.012763500213623,-0.0014537777751684189,-0.09247586131095886,2.6392641067504883,-0.00020326906815171242,0.0,0.17974892258644104,7.913205146789551,9.985990524291992,6.971988283367216e-05,0.0004163388948658597
