collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
16252928,-0.0006905069890308368,-6.505120089173033e-05,-0.0036773681640625,-0.004432851029378071
16384000,-0.0007308530202863039,-4.8474601527459527e-05,-0.00262451171875,-0.003403803606488509
16515072,-0.0007757494681754906,-7.047942818871888e-05,-0.0041656494140625,-0.005011833040498459
16646144,-0.0006537564354403003,-9.386022287571905e-05,-0.002899169921875,-0.0036467633349275275
16777216,-0.0005477002791849372,-9.590825729333119e-05,-0.00103759765625,-0.0016811719115139567
16908288,-0.0005256426941286918,-7.262494645488005e-05,-0.001708984375,-0.0023072287349350518
17039360,-0.0009234522945007484,-0.00012387919804268677,-0.0029144287109375,-0.003960940025990567
17170432,-0.0006599122311854444,-6.76810381037285e-05,-0.000518798828125,-0.0012462563431654416
17301504,-0.0005998872575219139,-0.00011717192617766159,-0.00299072265625,-0.003707719627982442
17432576,-0.0005260103462205734,-0.0001118677917588684,-0.0029754638671875,-0.003613274137933331
17563648,-0.0005366311643228983,-0.00010612391884023964,-0.0025787353515625,-0.0032214756297435088
17694720,-0.0007688263463023759,-0.0003103589905322224,-0.002899169921875,-0.003978126831952977
17825792,-0.0008110458252303943,-0.00017675417413443029,-0.0019683837890625,-0.0029560701982518367
17956864,-0.0007407750440506788,-7.788388691665205e-05,-0.0036468505859375,-0.004465333997814014
18087936,-0.0009071003387361998,-1.83251093801573e-05,-0.00054931640625,-0.0014747347731827176
18219008,-0.0008327915707013744,-2.4753420518663916e-05,-0.0009765625,-0.0018340683354836074
18350080,-0.0006440161769205588,-4.1308535543294056e-05,-0.004241943359375,-0.0049272527235189045
18481152,-0.0005574797955887334,-0.00013437409961625235,-0.0020904541015625,-0.0027822376277981675
18612224,-0.0006692980618936417,-0.00015605206357349743,-0.003662109375,-0.004487383148443769
18743296,-0.0007047121666801104,-0.00018419170874039992,-0.003021240234375,-0.003910006969363167
18874368,-0.0008076737663031963,-0.00018617692285261,-0.0016326904296875,-0.002626471997700719
19005440,-0.0008257599220087286,-0.00011453187931920183,-0.0049591064453125,-0.005899334329569683
19136512,-0.0009317625801941176,-0.00033429572386012296,-0.00115966796875,-0.002425607787699846
19267584,-0.0006858669685243513,-0.00018133369223960472,-0.0007171630859375,-0.001584342862770427
19398656,-0.0006727541533564363,-0.00011622002770650397,-0.0054168701171875,-0.006205760613283928
19529728,-0.0006613561281483271,-8.995516648724333e-05,-0.001861572265625,-0.002612883478832373
19660800,-0.0006710699408358778,-0.00010213029489136716,-0.0038604736328125,-0.004633463628124446
19791872,-0.0006542206851918309,-6.0868967636906746e-05,-0.001861572265625,-0.002576612993834715
19922944,-0.0006632108402300219,-3.9254972733715476e-05,-0.0022430419921875,-0.0029454450445882685
20054016,-0.0006034227681084303,-8.224506225928963e-05,-0.004150390625,-0.0048360165010308265
20185088,-0.0007835299199996371,-0.00010937365161112211,-0.0015869140625,-0.002479602691892069
20316160,-0.0006768211173948657,-6.812987543014515e-05,-0.0004425048828125,-0.001187262514122267
20447232,-0.0007224174796647276,-4.625117441037219e-05,-0.0037384033203125,-0.004506843216404377
20578304,-0.0007304869409381354,-5.451832370795273e-05,-0.003448486328125,-0.0042333371475251624
20709376,-0.000607409305530382,-0.00010489889302789379,-0.0038909912109375,-0.0046031834231143876
20840448,-0.0006166461466818873,-0.00018203837043984095,-0.0030059814453125,-0.003804464958193421
20971520,-0.0005548311287384422,-0.00012256092185225498,-0.0010528564453125,-0.001730237040646898
21102592,-0.0006666760366442759,-0.00010696134589238682,-0.0030364990234375,-0.0038101229042695195
21233664,-0.0008971985389507608,-0.00012453883010721256,-0.000640869140625,-0.001662606458467053
21364736,-0.00083192999863968,-0.00011980865963323595,-3.0517578125e-05,-0.0009822561860346468
21495808,-0.0006602224216294417,-4.372054623047461e-05,-0.0042266845703125,-0.004930622691745157
21626880,-0.0006576321075044689,-7.939339151619151e-05,-0.0012054443359375,-0.001942453251558618
