attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
1,19005440,3.560870912,3.695181824,6.783384064
1,19070976,3.559725056,3.695181824,6.783384064
1,19136512,3.558138368,3.695181824,6.783384064
1,19202048,3.561086976,3.737124864,6.783384064
1,19267584,3.558490624,3.695181824,6.783384064
1,19333120,3.559944192,3.695181824,6.783384064
1,19398656,3.559707136,3.716153344,6.783384064
1,19464192,3.560205824,3.714056192,6.783384064
1,19529728,3.558936576,3.69098752,6.783384064
1,19595264,3.556995584,3.714056192,6.783384064
1,19660800,3.557943808,3.714056192,6.783384064
1,19726336,3.557341184,3.714056192,6.783384064
1,19791872,3.559506432,3.695181824,6.783384064
1,19857408,3.55968512,3.716153344,6.783384064
1,19922944,3.561794048,3.693084672,6.783384064
2,19988480,3.55665152,3.688890368,5.375792128
2,20054016,3.559832576,3.73293056,6.780599296
2,20119552,3.558017536,3.714056192,6.780599296
2,20185088,3.559522816,3.693084672,6.781092352
2,20250624,3.561486848,3.755999232,6.782689792
2,20316160,3.561007616,3.737124864,6.782689792
2,20381696,3.560502272,3.69098752,6.782689792
2,20447232,3.560988672,3.714056192,6.782695424
2,20512768,3.56141568,3.735027712,6.782695424
2,20578304,3.559506944,3.716153344,6.782695424
2,20643840,3.558595072,3.714056192,6.782695424
2,20709376,3.56019968,3.737124864,6.782695424
2,20774912,3.558726144,3.716153344,6.782695424
2,20840448,3.557050368,3.716153344,6.782695424
2,20905984,3.55693568,3.695181824,6.782695424
2,20971520,3.556849664,3.755999232,6.782695424
2,21037056,3.560201728,3.716153344,6.782695424
2,21102592,3.557750784,3.693084672,6.782695424
2,21168128,3.55760896,3.714056192,6.782695424
2,21233664,3.559248384,3.714056192,6.782695424
2,21299200,3.55924736,3.716153344,6.782695424
2,21364736,3.560529408,3.71195904,6.782695424
2,21430272,3.558402048,3.693084672,6.782695424
2,21495808,3.559644672,3.693084672,6.782695424
3,21561344,3.557654016,3.667918848,5.376679936
3,21626880,3.56026112,3.693084672,6.78102784
3,21692416,3.558357504,3.693084672,6.78102784
3,21757952,3.558035968,3.672113152,6.78102784
3,21823488,3.561076736,3.71195904,6.781843456
3,21889024,3.55975168,3.693084672,6.781843456
3,21954560,3.560645632,3.693084672,6.782352384
3,22020096,3.55843072,3.695181824,6.782352384
