attempt,collected_frames,action/v_mean,action/w_mean,action/front_left_mean,action/front_right_mean,action/rear_left_mean,action/rear_right_mean
1,6553600,0.24176129698753357,-0.00010516140901017934,0.04466969519853592,0.03445308282971382,0.04807361215353012,0.04352768138051033
1,6619136,0.17908459901809692,7.133058534236625e-05,0.03677404671907425,0.04124106466770172,0.03266138583421707,0.05481100082397461
1,6684672,0.21442757546901703,7.845665095373988e-06,0.043272603303194046,0.04014722257852554,0.05264344811439514,0.042613402009010315
1,6750208,0.18865805864334106,2.814733306877315e-05,0.03863983601331711,0.03247644007205963,0.04319136217236519,0.03375467285513878
1,6815744,0.1710522621870041,-2.602294262032956e-05,0.033975549042224884,0.04272603243589401,0.0498548299074173,0.044389571994543076
1,6881280,0.24711787700653076,1.2868138583144173e-05,0.034823834896087646,0.029549622908234596,0.06581433117389679,0.0630151629447937
1,6946816,0.2233981490135193,5.8099009038414806e-05,0.041203368455171585,0.05420616269111633,0.06578054279088974,0.050870440900325775
1,7012352,0.179010808467865,-5.9362471802160144e-05,0.06297065317630768,0.05359343811869621,0.046924054622650146,0.04896797239780426
1,7077888,0.24136850237846375,-6.487065547844395e-06,0.048103298991918564,0.06192285194993019,0.0418904572725296,0.061923809349536896
1,7143424,0.20692408084869385,9.273135219700634e-06,0.020490974187850952,0.035964999347925186,0.03711199760437012,0.015478112734854221
1,7208960,0.2332170009613037,5.2594707085518166e-05,0.0557798370718956,0.06121349707245827,0.045555539429187775,0.03714931383728981
1,7274496,0.21098273992538452,7.047479448374361e-05,0.04871504008769989,0.039758384227752686,0.04382314160466194,0.04790060222148895
1,7340032,0.20172536373138428,2.74518970400095e-05,0.027249906212091446,0.03855151683092117,0.02373237907886505,0.03310919180512428
1,7405568,0.2285122573375702,9.591782873030752e-05,0.05752711743116379,0.04865217208862305,0.07128709554672241,0.05971625819802284
1,7471104,0.2321934700012207,5.505971785169095e-05,0.036980967968702316,0.06562437117099762,0.029091447591781616,0.05442073196172714
1,7536640,0.18072491884231567,3.848762935376726e-05,0.053336143493652344,0.04888506233692169,0.037210822105407715,0.03097822144627571
1,7602176,0.239206001162529,-1.4576766261598095e-05,0.04130198061466217,0.06669698655605316,0.050820913165807724,0.06475202739238739
1,7667712,0.2665882110595703,9.952641266863793e-05,0.036563046276569366,0.04440879076719284,0.06765361875295639,0.033012501895427704
1,7733248,0.2592644691467285,0.00012228151899762452,0.08143763244152069,0.04053349792957306,0.05542983487248421,0.04424704611301422
1,7798784,0.20975832641124725,6.422955630114302e-05,0.041403189301490784,0.0502159520983696,0.04396977648139,0.06416549533605576
1,7864320,0.24411475658416748,6.408474291674793e-05,0.040157437324523926,0.033104635775089264,0.05779128521680832,0.034551236778497696
1,7929856,0.2514926493167877,0.00011037362855859101,0.051597077399492264,0.048586405813694,0.05883798748254776,0.02540862187743187
1,7995392,0.25918126106262207,-1.8112248653778806e-05,0.0362478569149971,0.05891306698322296,0.06759611517190933,0.06198348104953766
1,8060928,0.2296401858329773,1.8539158190833405e-05,0.061102837324142456,0.03748403489589691,0.03081652708351612,0.05449214577674866
1,8126464,0.24763937294483185,-5.040848918724805e-05,0.046764541417360306,0.049604691565036774,0.06437705457210541,0.04200899973511696
1,8192000,0.21447087824344635,-5.9340127336326987e-05,0.048701900988817215,0.025077618658542633,0.05890677869319916,0.05001036822795868
1,8257536,0.22774559259414673,2.2398449800675735e-05,0.059893637895584106,0.05118041858077049,0.05603952333331108,0.07680078595876694
1,8323072,0.22109362483024597,7.98321416368708e-05,0.06324435770511627,0.06298777461051941,0.05960947275161743,0.044074155390262604
1,8388608,0.2086690366268158,8.873351907823235e-05,0.048509106040000916,0.04429979994893074,0.0418473519384861,0.04992859065532684
1,8454144,0.2567023038864136,8.539815098629333e-06,0.06662648171186447,0.0514538511633873,0.062137577682733536,0.04485072195529938
1,8519680,0.27575117349624634,5.134415187058039e-05,0.0636366456747055,0.07325702905654907,0.03647886589169502,0.0565669983625412
1,8585216,0.19159471988677979,1.3877241144655272e-05,0.04359278082847595,0.0482838973402977,0.06486246734857559,0.027516935020685196
1,8650752,0.2511752247810364,4.019027255708352e-05,0.042018383741378784,0.0789947658777237,0.042327407747507095,0.0679519772529602
1,8716288,0.23476262390613556,-6.264299008762464e-05,0.043028853833675385,0.04710729420185089,0.05160708725452423,0.03208296373486519
1,8781824,0.22984421253204346,-8.97316203918308e-05,0.04415159299969673,0.04108770936727524,0.07483111321926117,0.05016259104013443
1,8847360,0.2662504017353058,-3.8005051465006545e-05,0.06869858503341675,0.06830710917711258,0.04744953289628029,0.053883589804172516
1,8912896,0.25231850147247314,1.469873677706346e-05,0.04602900147438049,0.06707238405942917,0.05109969526529312,0.053048379719257355
1,8978432,0.24880734086036682,-8.205382619053125e-05,0.07455415278673172,0.04475244879722595,0.064692422747612,0.08370484411716461
