collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
26214400,0.7722429037094116,0.3077738583087921,0.062221232801675797,0.6374109983444214,0.05878040939569473,0.642500102519989,0.044612985104322433,0.635779619216919,0.01694517210125923,0.6129650473594666,-0.03017239458858967,0.6400327682495117,0.7062781453132629,0.7190285325050354,1.998375415802002,0.05752241984009743,0.034681808203458786,0.11475366353988647,0.9823379516601562,0.009741067886352539,0.155097097158432,0.5656108856201172
26738688,0.7808921337127686,0.3030332028865814,0.06557060778141022,0.6368003487586975,0.06233225762844086,0.6440626382827759,0.05068782716989517,0.6340520977973938,0.011859828606247902,0.616226315498352,-0.01751069352030754,0.6396390199661255,0.7059175372123718,0.7193289399147034,1.9965940713882446,0.057787880301475525,0.03514503315091133,0.11842190474271774,0.9815885424613953,0.009806792251765728,0.15554127097129822,0.5659748315811157
27262976,0.7797868251800537,0.3057588040828705,0.06580577045679092,0.6342710256576538,0.06325268745422363,0.6446993350982666,0.05141438543796539,0.6342186331748962,0.014629200100898743,0.6174442768096924,-0.012080739252269268,0.6406642198562622,0.7058982849121094,0.7191381454467773,1.9976866245269775,0.057839617133140564,0.035766903311014175,0.11874935030937195,0.9821696281433105,0.009858131408691406,0.15576514601707458,0.565953254699707
27787264,0.7835696339607239,0.30375927686691284,0.0641452744603157,0.637660801410675,0.06606899201869965,0.6420148611068726,0.04933024197816849,0.6348632574081421,0.025119446218013763,0.6180211901664734,-0.015073025599122047,0.6430013179779053,0.706129789352417,0.7190537452697754,1.9974586963653564,0.05942327901721001,0.037336334586143494,0.1201251670718193,0.9831554293632507,0.010111491195857525,0.1563660353422165,0.5663861036300659
28311552,0.7831302881240845,0.30567851662635803,0.06339362263679504,0.6369045376777649,0.06261283159255981,0.6402415037155151,0.051644787192344666,0.6387767791748047,0.02559937909245491,0.6157208681106567,-0.018219485878944397,0.6426480412483215,0.7053911089897156,0.7182427048683167,1.9983494281768799,0.05956214293837547,0.037808604538440704,0.12013006210327148,0.9824123382568359,0.010109901428222656,0.1562623232603073,0.5662500262260437
28835840,0.789679765701294,0.29758691787719727,0.06298354268074036,0.6352372765541077,0.06277565658092499,0.6405905485153198,0.048165351152420044,0.6384289860725403,0.028886038810014725,0.6148403286933899,-0.012212162837386131,0.6418355107307434,0.7049430012702942,0.718248188495636,1.9981333017349243,0.060045454651117325,0.038729581981897354,0.12266826629638672,0.9809845685958862,0.010055622085928917,0.15636222064495087,0.5661075115203857
29360128,0.7917929887771606,0.2950936555862427,0.06655905395746231,0.6360023021697998,0.06174128130078316,0.6382083892822266,0.045794159173965454,0.6366001963615417,0.028570124879479408,0.6137092709541321,-0.007882247678935528,0.6416430473327637,0.7049037218093872,0.718313455581665,1.9967296123504639,0.05952999368309975,0.037868350744247437,0.12254532426595688,0.9807223081588745,0.009985685348510742,0.15632018446922302,0.5662428736686707
29884416,0.7968266010284424,0.2903614640235901,0.0669068992137909,0.6342095732688904,0.060073286294937134,0.6379148364067078,0.041645824909210205,0.6354159116744995,0.022483523935079575,0.6144722104072571,-0.012961399741470814,0.6427003741264343,0.7043005228042603,0.7178516387939453,1.9971787929534912,0.06014302745461464,0.0379832461476326,0.12452086061239243,0.9796413779258728,0.009912252426147461,0.15639662742614746,0.5661803483963013
30408704,0.7923702001571655,0.2943359613418579,0.06307397782802582,0.6354137063026428,0.05550244078040123,0.638852059841156,0.035732243210077286,0.6354682445526123,0.022660396993160248,0.6150146722793579,-0.012335734441876411,0.6432238221168518,0.7045362591743469,0.7178796529769897,1.997288703918457,0.06116737425327301,0.03890851512551308,0.12385271489620209,0.9803826212882996,0.009998003952205181,0.15614280104637146,0.5659763813018799
30932992,0.8042476773262024,0.2822740375995636,0.057232923805713654,0.6363613605499268,0.047642193734645844,0.6388664841651917,0.03763033449649811,0.6357232928276062,0.031084273010492325,0.6158901453018188,-0.010835491120815277,0.6468501091003418,0.7043452858924866,0.7183324694633484,1.9978537559509277,0.06222258880734444,0.04061736911535263,0.12710291147232056,0.9798203706741333,0.010027567856013775,0.1572895050048828,0.5665924549102783
31457280,0.8109631538391113,0.2752425968647003,0.053310781717300415,0.636307418346405,0.042686738073825836,0.6373208165168762,0.032805435359478,0.6360504031181335,0.025831123813986778,0.6171594858169556,-0.004464215599000454,0.647354006767273,0.7041627168655396,0.7177358269691467,1.9979994297027588,0.06303153932094574,0.04150492697954178,0.12807634472846985,0.9797959327697754,0.010093132965266705,0.15795016288757324,0.566983699798584
31981568,0.8107467889785767,0.27423909306526184,0.05214250087738037,0.6362193822860718,0.04804450273513794,0.6373124718666077,0.02740565314888954,0.6392312049865723,0.014416628517210484,0.6164949536323547,-0.002006981521844864,0.6491451263427734,0.7046074867248535,0.7184464335441589,1.9974849224090576,0.06289185583591461,0.04210667312145233,0.12850944697856903,0.9812799692153931,0.010222991928458214,0.15855281054973602,0.567581295967102
32505856,0.8156124353408813,0.26727747917175293,0.0476389043033123,0.6353787183761597,0.036189354956150055,0.6382925510406494,0.03251328319311142,0.6396327018737793,0.01174222119152546,0.6147140264511108,0.006490866653621197,0.6475012302398682,0.7040196657180786,0.7178705930709839,1.997893214225769,0.06283845752477646,0.04231834411621094,0.12886589765548706,0.9799035787582397,0.010115544311702251,0.15824246406555176,0.5672928690910339
33030144,0.8169181942939758,0.2664160430431366,0.04766988754272461,0.6325621008872986,0.03787565976381302,0.638043999671936,0.03559476137161255,0.639880359172821,0.022080663591623306,0.6121034026145935,0.013424558565020561,0.6500738263130188,0.7041226625442505,0.7179116010665894,1.9972774982452393,0.06370173394680023,0.04324492812156677,0.1298539638519287,0.9801063537597656,0.010233720764517784,0.15847301483154297,0.5674843788146973
33554432,0.8203464150428772,0.2603229880332947,0.04969410598278046,0.6346647143363953,0.03501730412244797,0.6372388601303101,0.032735783606767654,0.6399603486061096,0.018700221553444862,0.6125613451004028,0.013532165437936783,0.6496630907058716,0.7032846212387085,0.7170575857162476,1.9969828128814697,0.06470753252506256,0.044315434992313385,0.1302993893623352,0.9794120788574219,0.010090351104736328,0.15843725204467773,0.5673223733901978
34078720,0.8249194622039795,0.25539034605026245,0.050468768924474716,0.6316154599189758,0.03434585779905319,0.636273980140686,0.033461619168519974,0.6425198912620544,0.008856710977852345,0.6135304570198059,0.013259105384349823,0.6490175724029541,0.7032109498977661,0.7173856496810913,1.9964241981506348,0.06477631628513336,0.04379637539386749,0.1316923350095749,0.979316234588623,0.010166963562369347,0.1588042676448822,0.5676932334899902
34603008,0.8260601758956909,0.2514646053314209,0.04848090559244156,0.6320585608482361,0.03483156859874725,0.6377681493759155,0.03850359097123146,0.6424938440322876,0.0037187356501817703,0.6104825735092163,0.011775722727179527,0.6483838558197021,0.7038670778274536,0.7180500626564026,1.9984989166259766,0.06500871479511261,0.04467348754405975,0.13111332058906555,0.9802570343017578,0.010317325592041016,0.15914449095726013,0.5679919719696045
35127296,0.8320253491401672,0.24653321504592896,0.04864780604839325,0.6316043734550476,0.044248588383197784,0.6371817588806152,0.03567592054605484,0.6405243277549744,0.0031646136194467545,0.6120041608810425,0.009041162207722664,0.6514202952384949,0.7027078866958618,0.7171701192855835,1.99772047996521,0.06683427840471268,0.04689032956957817,0.13297492265701294,0.9784450531005859,0.010229031555354595,0.15923993289470673,0.5677462816238403
