collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
11796480,0.01873653009533882,0.64375,2000000,0.0009249999999999987,,,,
11796480,,,,,0.10600004345178604,0.03153466060757637,0.4471934735774994,0.4175865054130554
11927552,-0.0002445180434733629,0.6397916666666666,2000000,0.0009241666666666654,,,,
11927552,,,,,0.08856373280286789,0.08918496966362,0.47754812240600586,0.44483137130737305
12058624,-0.019193798303604126,0.6358333333333334,2000000,0.000923333333333332,,,,
12058624,,,,,0.07947152853012085,0.04832877963781357,0.4494630992412567,0.4392867088317871
12189696,-0.005689539015293121,0.631875,2000000,0.0009224999999999986,,,,
12189696,,,,,0.1056007668375969,0.056279536336660385,0.4662814140319824,0.4219447672367096
12320768,-0.007056443952023983,0.6279166666666667,2000000,0.0009216666666666653,,,,
12320768,,,,,0.09315240383148193,0.20186692476272583,0.5141510963439941,0.5176310539245605
12451840,-0.0047894748859107494,0.6239583333333334,2000000,0.0009208333333333319,,,,
12451840,,,,,0.0905495136976242,0.07814103364944458,0.5461729764938354,0.5110151767730713
12582912,0.007914298214018345,0.6200000000000001,2000000,0.0009199999999999985,,,,
12582912,,,,,0.09895485639572144,0.08113885670900345,0.5346357822418213,0.5012631416320801
12713984,0.004399519879370928,0.6160416666666667,2000000,0.0009191666666666652,,,,
12713984,,,,,0.10317377001047134,0.031350091099739075,0.5141893625259399,0.4996437430381775
12845056,0.02004031091928482,0.6120833333333333,2000000,0.0009183333333333319,,,,
12845056,,,,,0.11163904517889023,0.05487632006406784,0.5353503823280334,0.4928503632545471
12976128,-0.0014263726770877838,0.608125,2000000,0.0009174999999999986,,,,
12976128,,,,,0.11057360470294952,0.06758284568786621,0.5427688956260681,0.5092747211456299
13107200,-0.024639595299959183,0.6041666666666667,2000000,0.0009166666666666652,,,,
13107200,,,,,0.10214193165302277,0.042388271540403366,0.5260012149810791,0.512621283531189
13238272,-0.00289256707765162,0.6002083333333335,2000000,0.000915833333333332,,,,
13238272,,,,,0.09861300885677338,0.20711728930473328,0.5555897355079651,0.49791502952575684
13369344,-0.004066967871040106,0.5962500000000001,2000000,0.0009149999999999987,,,,
13369344,,,,,0.07908841967582703,0.13532692193984985,0.559507429599762,0.5317457914352417
13500416,0.005196693353354931,0.5922916666666667,2000000,0.0009141666666666655,,,,
13500416,,,,,0.08349910378456116,0.1674949675798416,0.5315659642219543,0.5449241399765015
13631488,0.0047264122404158115,0.5883333333333334,2000000,0.0009133333333333322,,,,
13631488,,,,,0.07955010235309601,0.059376124292612076,0.5644859671592712,0.5534296035766602
13762560,-0.001598005648702383,0.584375,2000000,0.0009124999999999988,,,,
13762560,,,,,0.08395123481750488,0.0312918983399868,0.5277524590492249,0.5007610321044922
13893632,0.03494848310947418,0.5804166666666667,2000000,0.0009116666666666654,,,,
13893632,,,,,0.10063678026199341,0.09703941643238068,0.5503596067428589,0.5293087959289551
14024704,0.003919464070349932,0.5764583333333333,2000000,0.0009108333333333322,,,,
14024704,,,,,0.09216144680976868,0.17887315154075623,0.5266038775444031,0.5431115627288818
14155776,-0.012837894260883331,0.5725,2000000,0.0009099999999999988,,,,
14155776,,,,,0.09675513207912445,0.27501556277275085,0.5706045627593994,0.5208444595336914
14286848,0.0026965325232595205,0.5685416666666667,2000000,0.0009091666666666654,,,,
14286848,,,,,0.09125712513923645,0.0679364874958992,0.5838425755500793,0.5656615495681763
14417920,-0.002445894293487072,0.5645833333333333,2000000,0.0009083333333333321,,,,
14417920,,,,,0.10476316511631012,0.13527582585811615,0.6328796148300171,0.5844005346298218
14548992,0.00039313361048698425,0.560625,2000000,0.0009074999999999988,,,,
14548992,,,,,0.10685444623231888,0.17175421118736267,0.6166880130767822,0.5710176229476929
14680064,0.005474898032844067,0.5566666666666666,2000000,0.0009066666666666654,,,,
14680064,,,,,0.1066591739654541,0.06653674691915512,0.6190998554229736,0.600391685962677
14811136,-0.005992103833705187,0.5527083333333334,2000000,0.0009058333333333321,,,,
